"Hhindex" "pernum" "sex" "race" "hisp" "age" "relate" "ownership" "headsex" "headrace" "headhisp" "headage"
1 2 2 1 1 52 2 1 1 1 1 52
2 2 2 1 1 84 12 2 1 1 1 90
3 2 1 1 1 24 8 1 2 1 1 89
4 2 1 1 1 53 2 1 2 1 1 48
4 3 1 1 1 17 3 1 2 1 1 48
5 2 1 1 1 59 2 1 2 1 1 66
6 2 2 1 1 55 2 2 1 1 1 63
7 2 2 1 1 61 2 1 1 1 1 77
8 2 1 1 1 56 2 1 2 1 1 55
8 3 1 1 1 51 6 1 2 1 1 55
9 2 1 1 1 59 2 1 2 1 1 54
10 2 2 1 1 59 2 1 1 1 1 60
11 2 2 1 1 66 2 1 1 1 1 67
12 2 1 1 1 51 2 1 2 1 1 48
12 3 2 1 1 24 3 1 2 1 1 48
12 4 2 1 1 19 3 1 2 1 1 48
13 2 2 3 1 35 3 1 2 3 1 55
13 3 2 3 1 6 8 1 2 3 1 55
13 4 1 3 1 4 8 1 2 3 1 55
14 2 2 4 1 23 12 2 2 1 1 25
14 3 2 6 1 23 12 2 2 1 1 25
15 2 1 1 1 54 2 1 2 1 1 51
15 3 2 1 1 24 3 1 2 1 1 51
15 4 2 1 1 20 3 1 2 1 1 51
16 2 2 1 1 60 2 1 1 1 1 63
17 2 1 1 1 29 6 2 1 1 1 27
18 2 2 1 4 2 3 2 1 1 4 45
18 3 2 1 4 34 12 2 1 1 4 45
18 4 2 1 4 46 13 2 1 1 4 45
18 5 2 1 4 17 13 2 1 1 4 45
19 2 2 1 2 80 11 1 2 1 2 65
20 2 2 8 1 78 12 2 1 8 1 55
21 2 1 2 3 4 3 1 1 2 1 27
21 3 1 2 3 1 3 1 1 2 1 27
21 4 2 2 1 21 6 1 1 2 1 27
21 5 2 2 1 49 7 1 1 2 1 27
21 6 2 7 2 25 12 1 1 2 1 27
22 2 2 1 1 47 2 1 1 1 1 47
22 3 2 1 1 20 3 1 1 1 1 47
22 4 2 1 1 14 3 1 1 1 1 47
22 5 2 1 1 12 3 1 1 1 1 47
23 2 2 1 1 66 2 1 1 1 1 77
24 2 2 1 1 33 2 1 1 1 1 41
24 3 1 1 1 13 3 1 1 1 1 41
24 4 2 1 1 6 3 1 1 1 1 41
25 2 2 1 1 63 11 1 1 1 1 66
26 2 2 1 1 75 2 1 1 1 1 74
26 3 1 1 1 48 3 1 1 1 1 74
27 2 2 6 1 45 2 1 1 6 1 54
27 3 1 6 1 15 3 1 1 6 1 54
27 4 1 6 1 14 3 1 1 6 1 54
27 5 2 6 1 27 12 1 1 6 1 54
28 2 1 1 1 1 3 2 1 1 1 25
28 3 2 1 1 57 12 2 1 1 1 25
29 2 1 9 1 8 3 2 2 1 1 27
29 3 1 9 1 1 3 2 2 1 1 27
29 4 1 9 1 1 3 2 2 1 1 27
30 2 1 1 1 85 2 1 2 1 1 78
31 2 2 7 2 22 6 2 2 7 2 21
32 2 2 1 1 43 2 1 1 1 1 42
32 3 2 1 1 10 3 1 1 1 1 42
32 4 1 1 1 8 3 1 1 1 1 42
33 2 2 6 2 56 2 1 1 1 1 58
34 2 1 1 1 60 12 2 2 3 1 57
35 2 2 8 1 74 2 1 1 1 1 78
36 2 1 1 1 86 11 1 1 1 1 34
37 2 2 1 1 49 12 2 1 1 1 51
38 2 2 8 1 32 8 1 2 1 1 72
38 3 1 8 1 11 8 1 2 1 1 72
38 4 1 8 1 7 8 1 2 1 1 72
38 5 2 8 1 1 8 1 2 1 1 72
39 2 2 1 1 1 3 1 2 1 1 33
39 3 1 1 1 24 12 1 2 1 1 33
40 2 2 2 1 56 2 1 1 2 1 59
41 2 2 1 1 55 2 2 1 1 1 58
41 3 1 1 1 33 3 2 1 1 1 58
42 2 1 1 1 52 2 2 2 1 1 45
43 2 2 2 1 20 3 2 2 2 1 51
44 2 2 1 1 23 3 1 1 1 1 52
45 2 1 1 1 53 2 1 2 1 1 50
46 2 2 1 1 89 6 2 2 1 1 85
47 2 2 2 2 48 2 1 1 2 2 53
47 3 1 2 2 16 3 1 1 2 2 53
47 4 1 2 2 14 3 1 1 2 2 53
48 2 1 1 2 59 2 1 2 1 2 57
49 2 2 1 1 21 3 1 2 1 1 49
50 2 2 9 1 15 3 2 2 9 1 41
51 2 2 1 1 53 2 1 1 1 1 52
51 3 2 1 1 23 3 1 1 1 1 52
52 2 2 1 1 21 3 2 1 1 1 66
53 2 1 1 1 58 2 1 2 1 1 59
53 3 2 1 1 25 3 1 2 1 1 59
53 4 2 1 1 23 3 1 2 1 1 59
53 5 1 1 1 22 3 1 2 1 1 59
54 2 2 1 1 45 2 1 1 1 1 46
54 3 2 1 1 13 3 1 1 1 1 46
54 4 1 1 1 9 3 1 1 1 1 46
