"HHIndex" "WithinHHIndex" "Gender" "Race" "Hisp" "Age" "Relate" "Owner"
1 1 1 1 5 40 1 1
1 2 2 1 5 41 2 1
1 3 1 1 5 15 3 1
1 4 2 1 5 8 3 1
2 1 1 1 1 77 1 1
2 2 2 1 1 65 2 1
3 1 2 7 2 47 1 1
3 2 1 7 2 38 2 1
3 3 2 7 2 30 3 1
3 4 1 7 2 24 3 1
3 5 1 7 2 16 3 1
4 1 1 2 1 81 1 1
4 2 1 8 1 56 10 1
4 3 2 2 1 61 12 1
5 1 2 1 1 69 1 1
5 2 2 1 1 75 7 1
6 1 2 1 1 33 1 2
6 2 1 8 1 35 2 2
7 1 2 1 2 48 1 1
7 2 1 1 2 51 2 1
7 3 2 1 2 27 3 1
7 4 2 1 2 18 3 1
8 1 2 1 1 60 1 1
8 2 1 1 1 65 2 1
9 1 1 1 1 25 1 1
9 2 1 1 1 22 11 1
10 1 1 1 1 66 1 1
10 2 2 1 1 59 2 1
11 1 1 1 1 50 1 2
11 2 2 1 1 48 2 2
12 1 1 1 2 70 1 1
12 2 2 1 2 70 2 1
13 1 2 1 1 38 1 1
13 2 1 1 2 46 2 1
13 3 1 1 2 22 3 1
13 4 2 1 2 11 3 1
13 5 2 1 2 6 3 1
14 1 1 1 1 59 1 1
14 2 2 1 5 63 2 1
15 1 2 1 1 50 1 1
15 2 2 1 1 16 3 1
16 1 1 1 1 59 1 1
16 2 2 1 1 54 2 1
17 1 1 1 1 36 1 1
17 2 2 1 1 44 2 1
17 3 1 1 1 15 3 1
17 4 2 1 1 11 3 1
18 1 1 3 2 44 1 2
18 2 2 7 2 44 2 2
18 3 2 7 5 24 3 2
18 4 2 7 5 18 3 2
18 5 1 7 5 16 3 2
19 1 2 1 1 45 1 1
19 2 1 1 1 49 2 1
19 3 1 1 1 25 3 1
20 1 2 1 1 34 1 2
20 2 1 2 1 34 2 2
20 3 1 8 1 9 3 2
20 4 1 8 1 4 3 2
21 1 2 1 1 56 1 2
21 2 1 1 1 56 2 2
22 1 1 1 1 60 1 1
22 2 2 1 1 22 3 1
23 1 1 1 1 38 1 1
23 2 2 1 1 52 2 1
24 1 1 1 1 68 1 1
24 2 2 1 1 68 2 1
24 3 1 1 1 46 3 1
25 1 1 1 1 45 1 1
25 2 2 1 1 46 2 1
25 3 1 1 1 16 3 1
25 4 2 1 1 13 3 1
25 5 2 1 1 9 3 1
26 1 2 1 1 43 1 1
26 2 1 1 1 44 2 1
26 3 2 1 1 8 3 1
26 4 1 1 1 4 3 1
27 1 1 1 1 59 1 1
27 2 2 1 1 56 2 1
27 3 2 1 1 16 3 1
28 1 1 1 1 50 1 1
28 2 2 1 1 46 2 1
28 3 1 1 1 17 3 1
28 4 2 1 1 14 3 1
29 1 1 1 1 53 1 1
29 2 2 1 1 49 2 1
29 3 1 1 1 18 3 1
29 4 2 1 1 12 3 1
30 1 2 1 1 33 1 1
30 2 1 1 1 34 2 1
30 3 2 1 1 3 3 1
31 1 1 1 1 51 1 1
31 2 2 1 1 54 2 1
32 1 2 1 2 49 1 2
32 2 1 1 2 66 2 2
32 3 2 1 2 19 3 2
32 4 1 1 2 17 3 2
33 1 2 1 1 27 1 2
33 2 1 1 1 32 2 2
34 1 1 1 1 72 1 1
34 2 2 1 1 68 2 1
35 1 1 4 1 62 1 1
35 2 2 4 1 62 2 1
36 1 2 1 1 37 1 2
36 2 2 8 2 4 3 2
37 1 1 1 1 65 1 2
37 2 2 1 1 63 2 2
38 1 1 1 1 60 1 1
38 2 2 1 1 54 2 1
38 3 1 1 1 23 3 1
39 1 1 1 1 65 1 1
39 2 2 1 1 55 2 1
40 1 2 1 1 35 1 1
40 2 1 1 1 46 2 1
40 3 1 1 1 1 3 1
40 4 2 1 1 9 3 1
41 1 2 1 1 79 1 1
41 2 2 1 1 55 3 1
42 1 2 1 1 29 1 2
42 2 2 1 1 6 3 2
43 1 2 1 1 39 1 1
43 2 1 1 1 52 2 1
44 1 1 1 1 65 1 1
44 2 2 1 1 61 2 1
45 1 2 1 1 75 1 2
45 2 2 1 1 80 11 2
46 1 2 1 1 29 1 2
46 2 1 1 1 29 11 2
47 1 2 1 1 32 1 1
47 2 1 1 1 34 2 1
47 3 1 1 1 10 3 1
47 4 1 1 1 8 3 1
48 1 1 1 1 77 1 2
48 2 1 1 1 41 3 2
48 3 1 1 1 26 3 2
49 1 2 1 1 29 1 2
49 2 1 1 1 30 2 2
50 1 2 2 1 27 1 2
50 2 1 2 1 2 3 2
51 1 1 1 1 63 1 1
51 2 2 1 1 63 2 1
52 1 1 6 1 69 1 2
52 2 2 6 1 73 12 2
53 1 1 1 2 89 1 1
53 2 2 1 2 86 2 1
54 1 2 1 1 70 1 1
54 2 1 1 1 71 11 1
55 1 2 1 1 34 1 1
55 2 1 1 1 31 2 1
55 3 1 1 1 20 3 1
55 4 1 1 1 19 3 1
56 1 2 7 2 23 1 1
56 2 1 7 2 35 2 1
56 3 1 7 2 6 3 1
56 4 1 7 2 1 3 1
57 1 2 1 1 59 1 1
57 2 1 1 1 59 2 1
58 1 1 1 1 60 1 1
58 2 2 1 1 58 2 1
58 3 1 1 1 36 3 1
59 1 1 1 1 30 1 1
