"HHIndex" "WithinHHIndex" "Gender" "Race" "Hisp" "Age" "Relate" "Owner" "HHGender" "HHRace" "HHHisp" "HHAge" "HHRelate"
1 2 2 1 1 18 3 1 2 1 1 40 1
1 3 1 1 1 12 3 1 2 1 1 40 1
2 2 1 1 1 72 2 1 2 1 1 70 1
3 2 2 1 1 63 2 1 1 1 1 70 1
4 2 1 1 1 67 5 1 1 1 1 39 1
5 2 2 1 1 61 2 1 1 1 1 66 1
6 2 2 1 1 13 3 2 2 1 1 43 1
7 2 1 3 1 26 10 2 2 3 1 58 1
8 2 1 1 2 31 11 1 1 1 1 29 1
9 2 2 1 1 73 2 1 1 1 1 80 1
10 2 2 1 1 43 2 1 1 1 1 48 1
10 3 2 1 1 7 3 1 1 1 1 48 1
11 2 2 1 1 74 2 1 1 1 1 73 1
11 3 1 1 1 37 3 1 1 1 1 73 1
12 2 1 1 2 13 3 1 2 1 2 33 1
13 2 2 1 1 74 2 1 1 1 1 79 1
14 2 2 1 1 31 2 1 1 1 1 31 1
14 3 1 1 1 4 3 1 1 1 1 31 1
15 2 2 2 1 44 3 1 2 2 1 64 1
15 3 1 2 1 63 7 1 2 2 1 64 1
16 2 2 1 1 55 2 1 1 1 1 58 1
17 2 2 1 2 59 2 1 1 1 2 55 1
18 2 2 1 1 68 7 1 2 1 1 74 1
19 2 2 6 1 63 2 1 1 6 1 67 1
20 2 1 1 1 56 2 1 2 1 1 54 1
21 2 2 2 1 58 2 1 1 2 1 55 1
21 3 2 2 1 16 3 1 1 2 1 55 1
22 2 1 1 1 52 2 1 2 1 1 62 1
23 2 2 2 1 50 11 2 1 2 1 51 1
24 2 1 7 2 38 2 1 2 7 2 39 1
24 3 2 7 2 6 3 1 2 7 2 39 1
25 2 2 2 1 54 3 1 2 2 1 77 1
26 2 1 1 1 44 2 1 2 1 1 43 1
26 3 2 1 1 22 3 1 2 1 1 43 1
27 2 2 2 1 25 2 2 1 2 1 50 1
28 2 2 1 1 26 3 1 2 1 1 53 1
28 3 1 1 1 40 11 1 2 1 1 53 1
