"Hhindex" "pernum" "sex" "race" "hisp" "age" "relate" "ownership" "headsex" "headrace" "headhisp" "headage"
1 2 1 NA 1 69 3 1 2 1 1 72
2 2 2 NA 1 84 12 2 1 NA 1 90
3 2 1 1 1 24 8 1 2 1 1 89
4 2 1 1 1 53 2 NA 2 1 NA 48
4 3 1 1 NA 17 3 NA 2 1 NA 48
5 2 1 1 1 59 2 1 2 1 NA 66
6 2 2 1 1 55 2 2 1 1 1 63
7 2 2 1 1 61 2 NA 1 1 1 77
8 2 2 NA 1 56 12 1 2 1 1 25
8 3 1 1 1 5 8 1 2 1 1 25
9 2 1 1 1 59 2 1 2 1 1 54
10 2 1 1 1 59 5 1 1 1 NA 41
11 2 2 1 1 66 2 NA 1 1 1 67
12 2 2 1 1 67 3 1 2 1 1 81
12 3 1 1 1 24 5 1 2 1 1 81
12 4 1 1 1 35 6 1 2 1 1 81
13 2 2 3 1 35 3 1 2 3 NA 55
13 3 2 3 1 6 8 1 2 3 NA 55
13 4 1 3 1 4 8 1 2 3 NA 55
14 2 2 NA 1 23 12 NA 2 NA 1 25
14 3 2 6 1 23 12 NA 2 NA 1 25
15 2 1 1 1 54 2 1 2 NA 1 51
15 3 2 1 1 24 3 1 2 NA 1 51
15 4 2 NA 1 20 3 1 2 NA 1 51
16 2 2 1 1 60 2 1 1 1 1 63
17 2 1 1 1 29 6 2 1 1 1 27
18 2 1 1 4 53 10 2 1 1 NA 81
18 3 1 1 4 93 4 2 1 1 NA 81
18 4 1 1 4 47 3 2 1 1 NA 81
18 5 1 1 NA 3 3 2 1 1 NA 81
19 2 2 1 NA 80 11 1 2 1 2 65
20 2 2 8 1 78 12 2 1 8 1 55
21 2 1 2 3 4 3 NA 1 2 1 27
21 3 1 2 3 1 3 NA 1 2 1 27
21 4 2 2 1 21 6 NA 1 2 1 27
21 5 2 NA 1 49 7 NA 1 2 1 27
21 6 2 NA 2 25 12 NA 1 2 1 27
22 2 1 1 1 53 13 1 2 1 1 93
22 3 2 1 1 80 8 1 2 1 1 93
22 4 1 1 1 20 9 1 2 1 1 93
22 5 1 1 1 56 12 1 2 1 1 93
23 2 2 NA NA 66 2 1 1 NA 1 77
24 2 2 1 1 62 9 1 1 1 NA 63
24 3 2 NA 1 69 10 1 1 1 NA 63
24 4 1 1 1 11 2 1 1 1 NA 63
25 2 1 1 NA 44 8 1 2 1 1 40
26 2 1 1 NA 73 5 1 2 1 1 46
26 3 2 1 1 25 12 1 2 1 1 46
27 2 2 6 1 45 2 NA 1 6 1 54
27 3 1 6 1 15 3 NA 1 6 1 54
27 4 1 6 1 14 3 NA 1 6 1 54
27 5 2 6 1 27 12 NA 1 6 1 54
28 2 1 1 1 1 3 2 1 1 1 25
28 3 2 1 1 57 12 2 1 1 1 25
29 2 1 9 1 8 3 2 2 1 1 27
29 3 1 NA 1 1 3 2 2 1 1 27
29 4 1 9 1 1 3 2 2 1 1 27
30 2 1 1 1 85 2 1 2 1 1 78
31 2 2 NA NA 22 6 2 2 7 2 21
32 2 2 1 1 43 2 1 1 1 NA 42
32 3 2 1 1 10 3 1 1 1 NA 42
32 4 1 1 1 8 3 1 1 1 NA 42
33 2 1 6 2 17 9 1 2 1 NA 84
34 2 1 1 1 60 12 2 2 3 1 57
35 2 1 8 1 79 8 1 1 1 1 78
36 2 1 NA 1 86 11 1 1 1 1 34
37 2 1 1 1 57 8 2 2 1 1 59
38 2 1 8 1 20 13 1 2 1 1 25
38 3 2 8 1 11 4 1 2 1 1 25
38 4 2 8 1 28 11 1 2 1 1 25
38 5 1 NA NA 40 3 1 2 1 1 25
39 2 2 1 1 1 3 1 2 1 1 33
39 3 1 1 1 24 12 1 2 1 1 33
40 2 1 2 1 58 9 1 2 2 1 59
41 2 2 1 1 55 2 2 1 1 1 58
41 3 1 1 NA 33 3 2 1 1 1 58
42 2 1 1 NA 52 2 2 2 1 NA 45
43 2 2 2 1 20 3 2 2 2 1 51
44 2 1 1 1 87 4 1 2 NA NA 46
45 2 1 1 1 53 2 1 2 1 NA 50
46 2 2 1 1 89 6 NA 2 NA NA 85
47 2 2 2 NA 48 2 1 1 2 2 53
47 3 1 2 2 16 3 1 1 2 2 53
47 4 1 NA 2 14 3 1 1 2 2 53
48 2 1 1 2 59 2 1 2 1 2 57
49 2 2 1 NA 21 3 1 2 1 1 49
50 2 2 NA 1 15 3 2 2 9 1 41
51 2 2 NA 1 53 2 1 1 1 1 52
51 3 2 1 1 23 3 1 1 1 1 52
52 2 2 1 1 21 3 NA 1 NA 1 66
53 2 1 1 1 58 2 1 2 1 1 59
53 3 2 1 1 25 3 1 2 1 1 59
53 4 2 1 1 23 3 1 2 1 1 59
53 5 1 1 1 22 3 1 2 1 1 59
54 2 2 1 1 45 2 1 1 NA NA 46
54 3 2 1 1 13 3 1 1 NA NA 46
54 4 1 1 1 9 3 1 1 NA NA 46
55 2 1 1 1 32 2 1 2 NA 1 35
55 3 2 1 NA 14 3 1 2 NA 1 35
55 4 1 1 1 9 3 1 2 NA 1 35
56 2 2 1 1 74 2 1 1 NA 1 79
57 2 1 1 NA 93 5 1 2 1 1 77
58 2 2 NA 1 73 2 1 1 1 1 77
59 2 2 NA 1 85 2 1 1 1 1 80
60 2 2 1 1 30 10 1 2 1 1 83
60 3 1 NA 1 32 9 1 2 1 1 83
61 2 2 1 1 51 2 1 1 1 NA 56
62 2 2 1 1 44 2 NA 1 1 1 48
62 3 1 1 1 21 3 NA 1 1 1 48
62 4 2 1 NA 18 3 NA 1 1 1 48
62 5 1 NA 1 15 3 NA 1 1 1 48
63 2 2 1 NA 18 3 2 1 1 NA 40
64 2 2 NA 1 58 2 1 1 1 1 58
64 3 1 1 1 19 3 1 1 1 1 58
65 2 2 1 5 59 2 2 1 1 1 61
65 3 1 1 1 33 3 2 1 1 1 61
66 2 2 1 1 37 2 1 1 1 1 36
67 2 2 1 1 69 2 1 1 1 NA 19
68 2 2 1 1 54 2 NA 1 1 1 54
69 2 2 1 1 28 2 NA 1 1 1 28
70 2 2 1 NA 62 2 1 1 1 NA 67
70 3 2 1 1 22 4 1 1 1 NA 67
70 4 1 NA 1 22 4 1 1 1 NA 67
71 2 2 1 1 45 2 NA 1 1 1 47
71 3 1 1 1 14 3 NA 1 1 1 47
72 2 2 1 NA 16 3 2 2 1 1 36
72 3 2 1 1 13 3 2 2 1 1 36
72 4 2 1 1 10 3 2 2 1 1 36
72 5 1 1 NA 6 3 2 2 1 1 36
73 2 2 1 1 47 2 NA 1 1 1 47
74 2 1 NA 2 20 2 2 2 7 NA 19
74 3 2 NA 2 3 3 2 2 7 NA 19
75 2 1 1 NA 53 2 1 2 1 1 52
75 3 1 NA 1 25 3 1 2 1 1 52
75 4 2 NA 1 21 3 1 2 1 1 52
75 5 2 NA 1 23 10 1 2 1 1 52
76 2 2 1 1 68 12 1 1 1 1 62
77 2 2 1 1 48 2 1 1 1 1 51
77 3 2 1 1 17 3 1 1 1 1 51
77 4 1 NA 1 15 3 1 1 1 1 51
77 5 1 1 NA 13 3 1 1 1 1 51
77 6 2 1 1 9 3 1 1 1 1 51
78 2 2 1 1 48 2 NA 1 1 1 60
79 2 1 1 1 66 2 1 2 1 1 61
80 2 2 1 1 74 6 1 2 1 1 30
80 3 1 1 1 78 8 1 2 1 1 30
81 2 2 NA 1 54 2 NA 1 1 1 57
82 2 2 6 1 59 2 1 1 6 1 67
82 3 1 6 1 55 6 1 1 6 1 67
83 2 2 2 1 64 2 1 1 2 1 60
83 3 1 NA 1 43 5 1 1 2 1 60
84 2 2 NA 2 54 2 1 1 6 1 57
85 2 2 NA 1 57 5 1 1 2 NA 39
86 2 1 1 1 16 9 1 2 NA 1 30
87 2 1 NA 1 67 10 1 2 1 1 56
87 3 1 1 1 38 8 1 2 1 1 56
88 2 2 1 1 23 12 2 2 1 1 22
89 2 1 1 1 25 12 1 1 NA NA 37
89 3 2 1 NA 33 12 1 1 NA NA 37
90 2 2 6 1 68 7 2 2 6 1 93
91 2 1 1 1 52 12 2 1 NA 1 50
92 2 1 1 1 59 2 1 2 1 NA 59
93 2 1 1 1 12 3 2 2 1 1 50
94 2 2 NA 2 40 2 2 2 2 1 59
94 3 2 NA NA 26 8 2 2 2 1 59
95 2 1 1 1 66 2 1 2 NA 1 65
96 2 2 NA 1 62 2 1 1 NA 1 58
97 2 2 1 NA 37 2 2 1 NA NA 43
97 3 2 1 1 11 3 2 1 NA NA 43
98 2 2 1 1 50 2 1 1 1 1 52
98 3 2 1 1 23 3 1 1 1 1 52
98 4 1 1 1 20 3 1 1 1 1 52
99 2 1 1 NA 78 12 1 2 1 1 77
100 2 1 1 1 13 3 NA 2 NA NA 31
101 2 2 1 NA 60 2 1 1 NA 1 66
102 2 1 1 1 68 2 NA 2 NA 1 57
103 2 1 8 2 18 3 NA 2 8 2 37
103 3 2 8 2 10 3 NA 2 8 2 37
103 4 1 NA 2 2 3 NA 2 8 2 37
104 2 2 1 NA 58 2 NA 1 1 NA 63
105 2 1 1 1 53 12 1 2 1 1 52
106 2 2 1 NA 75 3 1 2 1 NA 41
106 3 1 1 1 17 10 1 2 1 NA 41
106 4 1 1 1 89 9 1 2 1 NA 41
107 2 1 2 1 34 2 1 2 8 1 34
107 3 1 9 NA 7 3 1 2 8 1 34
107 4 1 9 1 4 3 1 2 8 1 34
108 2 2 1 NA 37 2 2 1 NA 2 40
108 3 1 NA 2 10 3 2 1 NA 2 40
108 4 2 1 2 4 3 2 1 NA 2 40
108 5 1 1 2 1 3 2 1 NA 2 40
109 2 1 1 1 7 6 NA 2 1 1 75
109 3 2 NA 1 47 13 NA 2 1 1 75
110 2 2 2 1 13 3 2 2 2 1 33
111 2 1 1 1 40 8 1 2 1 1 32
112 2 1 NA 1 27 9 1 2 1 1 29
113 2 2 1 NA 45 2 1 1 1 1 40
113 3 2 1 NA 17 3 1 1 1 1 40
113 4 2 1 1 14 3 1 1 1 1 40
113 5 2 NA 1 13 3 1 1 1 1 40
114 2 1 1 1 35 2 2 2 NA 1 29
114 3 1 NA 1 6 3 2 2 NA 1 29
114 4 1 1 1 3 3 2 2 NA 1 29
114 5 2 1 1 13 5 2 2 NA 1 29
114 6 2 1 1 9 5 2 2 NA 1 29
115 2 2 2 NA 5 2 1 1 2 1 32
116 2 2 1 1 55 2 1 1 1 1 58
117 2 2 1 1 53 9 2 1 1 1 78
118 2 2 1 1 46 2 1 1 1 1 42
118 3 2 1 1 13 3 1 1 1 1 42
118 4 2 1 1 19 5 1 1 1 1 42
119 2 1 1 1 46 2 2 2 NA NA 39
119 3 2 1 1 18 3 2 2 NA NA 39
119 4 1 1 1 9 3 2 2 NA NA 39
120 2 2 NA 1 46 7 1 1 1 1 52
121 2 1 NA 1 48 2 2 2 1 NA 44
121 3 2 1 1 13 3 2 2 1 NA 44
122 2 1 NA 1 38 2 1 2 1 1 40
122 3 1 1 1 12 3 1 2 1 1 40
122 4 1 1 1 9 3 1 2 1 1 40
122 5 2 NA 1 71 7 1 2 1 1 40
123 2 2 4 1 48 2 1 1 8 1 52
124 2 1 NA NA 84 13 1 2 NA 1 82
124 3 2 1 1 83 8 1 2 NA 1 82
125 2 2 1 1 35 2 NA 1 NA 1 35
125 3 2 NA 1 5 3 NA 1 NA 1 35
125 4 2 1 NA 58 7 NA 1 NA 1 35
126 2 1 1 1 44 2 1 2 NA 1 36
126 3 2 1 1 7 3 1 2 NA 1 36
126 4 1 1 1 5 3 1 2 NA 1 36
127 2 2 1 1 68 2 1 1 1 NA 70
128 2 2 1 NA 47 2 1 1 1 NA 50
128 3 2 1 1 17 3 1 1 1 NA 50
128 4 2 1 1 14 3 1 1 1 NA 50
129 2 2 1 2 11 3 1 1 NA 2 40
129 3 1 NA 2 7 3 1 1 NA 2 40
130 2 1 1 NA 19 5 NA 2 1 1 27
130 3 2 1 1 89 9 NA 2 1 1 27
131 2 1 NA NA 24 3 1 1 NA 5 47
131 3 2 1 5 11 3 1 1 NA 5 47
131 4 2 1 5 42 12 1 1 NA 5 47
132 2 2 1 NA 50 12 1 2 NA 1 59
133 2 1 7 2 32 4 2 1 7 2 42
134 2 2 1 1 37 2 NA 1 1 1 43
134 3 2 1 1 15 3 NA 1 1 1 43
134 4 1 1 1 12 3 NA 1 1 1 43
135 2 1 3 NA 58 13 1 1 1 1 56
136 2 1 NA 1 46 2 1 2 1 1 48
136 3 1 1 1 17 3 1 2 1 1 48
136 4 2 1 1 13 3 1 2 1 1 48
137 2 1 1 2 87 8 1 1 1 2 44
138 2 2 1 1 75 6 1 1 1 1 62
138 3 2 NA NA 54 11 1 1 1 1 62
139 2 2 1 1 67 2 1 1 1 1 67
140 2 1 1 1 55 2 1 2 1 1 53
140 3 1 NA 1 16 3 1 2 1 1 53
141 2 2 1 1 37 2 1 1 2 1 42
141 3 2 NA NA 10 3 1 1 2 1 42
141 4 1 2 1 1 3 1 1 2 1 42
141 5 2 2 1 66 7 1 1 2 1 42
142 2 2 1 1 60 2 1 1 1 1 65
143 2 2 1 1 56 2 1 1 NA 1 56
144 2 1 NA NA 56 2 NA 2 1 NA 55
145 2 2 NA 1 20 3 NA 2 NA 1 42
145 3 1 NA 1 28 6 NA 2 NA 1 42
145 4 1 1 NA 1 8 NA 2 NA 1 42
145 5 1 1 1 43 12 NA 2 NA 1 42
146 2 2 1 1 67 2 1 1 1 1 61
147 2 1 NA 5 39 2 NA 2 NA 5 46
147 3 1 1 5 3 3 NA 2 NA 5 46
148 2 2 1 NA 53 2 1 1 NA NA 80
148 3 1 1 1 29 3 1 1 NA NA 80
148 4 2 1 1 27 3 1 1 NA NA 80
149 2 2 1 1 41 12 1 1 1 1 36
150 2 2 NA NA 49 3 2 2 2 1 70
150 3 2 2 1 12 8 2 2 2 1 70
150 4 2 2 1 7 8 2 2 2 1 70
151 2 1 1 1 45 7 1 1 NA 1 60
152 2 2 1 1 95 3 1 2 NA 1 92
152 3 1 1 1 48 11 1 2 NA 1 92
152 4 1 NA 1 76 2 1 2 NA 1 92
153 2 2 NA 1 46 2 1 1 NA 1 50
153 3 2 1 NA 17 3 1 1 NA 1 50
154 2 1 NA NA 32 3 NA 2 NA NA 19
154 3 2 1 NA 51 8 NA 2 NA NA 19
