"HHIndex" "WithinHHIndex" "Gender" "Race" "Hisp" "Age" "Relate" "Owner" "HHGender" "HHRace" "HHHisp" "HHAge" "HHRelate"
1 2 1 1 1 58 2 1 2 1 1 59 1
2 2 2 1 1 43 2 1 1 1 1 42 1
2 3 2 1 1 23 3 1 1 1 1 42 1
2 4 2 1 1 13 3 1 1 1 1 42 1
3 2 2 1 1 51 2 1 1 1 1 51 1
3 3 1 1 1 15 3 1 1 1 1 51 1
3 4 1 1 1 12 3 1 1 1 1 51 1
4 2 1 1 1 43 2 2 2 1 1 46 1
4 3 2 1 1 65 5 2 2 1 1 46 1
5 2 2 1 1 29 2 1 1 1 1 29 1
6 2 1 1 2 73 2 2 2 1 2 66 1
7 2 2 1 1 45 2 1 1 1 1 37 1
7 3 1 1 1 9 3 1 1 1 1 37 1
8 2 2 1 1 36 2 1 1 1 1 39 1
8 3 2 1 1 11 3 1 1 1 1 39 1
8 4 1 1 1 8 3 1 1 1 1 39 1
9 2 2 1 1 57 2 1 1 1 1 57 1
10 2 2 1 1 51 2 1 1 1 1 51 1
11 2 2 1 1 64 2 1 1 1 1 64 1
12 2 2 1 1 31 2 2 1 1 1 31 1
13 2 1 2 1 17 3 2 2 2 1 37 1
13 3 1 2 1 14 3 2 2 2 1 37 1
14 2 1 1 1 54 2 1 2 1 1 54 1
14 3 1 1 1 18 3 1 2 1 1 54 1
15 2 2 1 1 43 2 1 1 1 1 55 1
16 2 2 1 1 77 2 1 1 1 1 75 1
16 3 1 1 1 53 3 1 1 1 1 75 1
16 4 1 1 1 42 3 1 1 1 1 75 1
17 2 2 1 1 53 2 1 1 1 1 53 1
17 3 2 1 1 23 3 1 1 1 1 53 1
17 4 2 1 1 21 3 1 1 1 1 53 1
18 2 2 1 1 61 11 1 2 1 1 56 1
19 2 2 1 1 76 2 1 1 1 1 76 1
20 2 1 1 1 53 2 1 2 1 1 48 1
20 3 1 1 1 17 3 1 2 1 1 48 1
21 2 2 1 1 55 2 1 1 1 1 54 1
22 2 2 1 1 52 2 1 1 1 1 54 1
22 3 1 1 1 23 3 1 1 1 1 54 1
22 4 1 1 1 19 3 1 1 1 1 54 1
23 2 2 1 1 73 2 1 1 1 1 75 1
24 2 1 1 1 19 3 2 2 1 1 49 1
25 2 2 1 1 28 2 1 1 1 1 30 1
25 3 2 1 1 3 3 1 1 1 1 30 1
26 2 2 1 1 69 2 2 1 1 1 78 1
27 2 2 1 1 77 2 1 1 1 1 81 1
27 3 1 1 1 20 9 1 1 1 1 81 1
28 2 2 1 1 78 2 1 1 1 1 80 1
29 2 1 1 1 46 2 1 2 1 1 52 1
30 2 1 2 1 26 2 2 2 1 3 23 1
31 2 1 7 2 25 11 2 2 1 1 21 1
32 2 1 1 2 17 3 2 2 1 2 46 1
33 2 1 1 1 64 2 1 2 1 1 65 1
34 2 1 1 1 70 2 2 2 1 1 66 1
35 2 2 1 1 27 2 2 1 1 1 30 1
35 3 1 1 1 1 3 2 1 1 1 30 1
36 2 2 1 1 59 2 1 1 1 1 65 1
37 2 2 1 1 46 2 1 1 1 1 46 1
37 3 1 1 1 17 3 1 1 1 1 46 1
38 2 2 4 1 80 2 1 1 4 1 83 1
39 2 2 2 1 17 9 2 2 2 1 64 1
39 3 2 2 1 14 9 2 2 2 1 64 1
40 2 2 1 1 72 2 1 1 1 1 75 1
41 2 1 1 1 78 2 1 2 1 1 64 1
41 3 1 1 1 32 3 1 2 1 1 64 1
42 2 2 1 1 80 2 1 1 1 1 88 1
43 2 1 1 1 3 3 2 2 1 1 31 1
44 2 2 1 1 39 2 1 1 1 1 39 1
44 3 2 1 1 7 3 1 1 1 1 39 1
44 4 2 1 1 4 3 1 1 1 1 39 1
45 2 2 1 1 56 2 1 1 1 1 56 1
45 3 1 1 1 23 3 1 1 1 1 56 1
46 2 2 1 1 81 2 1 1 1 1 82 1
46 3 1 1 1 41 3 1 1 1 1 82 1
47 2 2 6 1 59 2 2 1 6 1 64 1
48 2 2 1 1 76 5 1 2 1 1 57 1
49 2 2 1 1 54 2 1 1 1 1 60 1
49 3 1 1 1 23 3 1 1 1 1 60 1
50 2 2 1 1 66 2 1 1 1 1 63 1
51 2 1 1 1 66 2 1 2 1 1 53 1
52 2 2 1 1 40 2 1 1 1 1 40 1
52 3 1 1 1 16 3 1 1 1 1 40 1
52 4 2 1 1 14 3 1 1 1 1 40 1
53 2 1 1 1 20 3 1 2 1 1 42 1
53 3 2 1 1 64 5 1 2 1 1 42 1
54 2 2 1 1 59 2 1 1 1 1 59 1
55 2 2 8 1 57 2 1 1 1 1 54 1
55 3 1 9 1 18 3 1 1 1 1 54 1
