"HHIndex" "WithinHHIndex" "Gender" "Race" "Hisp" "Age" "Relate" "Owner" "HHGender" "HHRace" "HHHisp" "HHAge"
1 2 2 2 1 15 2 1 1 2 1 37
1 3 1 2 1 12 2 1 1 2 1 37
1 4 2 2 1 36 10 1 1 2 1 37
2 2 2 1 1 66 1 1 1 1 1 69
3 2 2 1 1 65 1 1 1 1 1 67
4 2 2 1 1 33 1 1 1 1 1 40
4 3 1 1 1 13 2 1 1 1 1 40
4 4 2 1 1 10 2 1 1 1 1 40
5 2 2 2 1 61 1 1 1 2 1 64
5 3 1 2 1 32 2 1 1 2 1 64
6 2 1 1 1 44 1 1 2 1 1 44
6 3 2 1 1 15 2 1 2 1 1 44
6 4 2 1 1 12 2 1 2 1 1 44
7 2 1 1 1 68 1 2 2 1 1 57
8 2 2 1 1 16 2 2 1 1 1 53
9 2 2 1 1 67 1 1 1 1 1 67
10 2 2 1 1 57 1 1 1 1 1 61
11 2 2 1 1 53 1 1 1 1 1 54
11 3 2 1 1 22 2 1 1 1 1 54
11 4 1 1 1 21 2 1 1 1 1 54
12 2 1 2 1 51 2 2 2 2 1 80
13 2 1 1 1 62 10 1 2 1 1 62
14 2 2 1 1 54 1 1 1 2 1 63
15 2 1 8 1 68 1 1 2 2 1 72
16 2 2 1 1 28 1 2 1 1 5 30
17 2 1 1 1 10 2 1 1 1 1 36
17 3 1 1 1 7 2 1 1 1 1 36
17 4 2 1 1 29 10 1 1 1 1 36
18 2 1 1 1 71 1 1 2 1 1 66
19 2 1 1 1 28 2 1 2 1 1 59
19 3 1 1 1 5 8 1 2 1 1 59
19 4 2 1 1 27 11 1 2 1 1 59
20 2 2 6 1 61 1 1 1 6 1 71
20 3 1 6 1 34 2 1 1 6 1 71
21 2 2 1 1 6 2 2 1 1 1 43
22 2 2 1 1 89 1 2 1 1 1 87
23 2 2 1 1 76 1 1 1 1 1 83
24 2 2 1 1 52 1 2 1 1 1 56
25 2 2 1 1 26 10 2 1 1 1 28
26 2 1 1 1 62 1 1 2 1 1 60
27 2 1 1 5 43 1 2 2 1 5 37
27 3 2 1 5 9 2 2 2 1 5 37
27 4 2 1 5 2 2 2 2 1 5 37
28 2 2 1 1 59 1 1 1 1 1 64
29 2 1 3 1 33 2 1 1 3 1 64
30 2 2 1 1 74 1 1 1 1 1 74
31 2 2 1 1 22 2 1 1 1 1 60
32 2 2 1 1 47 1 1 1 1 1 50
32 3 1 1 1 26 2 1 1 1 1 50
33 2 1 1 1 55 2 2 2 1 1 72
34 2 2 1 1 54 1 1 1 1 1 57
34 3 1 7 1 4 2 1 1 1 1 57
35 2 2 1 1 40 1 1 1 1 1 53
36 2 1 1 1 48 10 2 1 1 1 38
37 2 1 2 1 21 10 2 2 1 1 21
38 2 2 1 1 3 2 1 2 1 1 33
38 3 1 1 1 35 10 1 2 1 1 33
39 2 2 3 1 61 1 2 1 7 2 65
40 2 2 1 1 82 1 1 1 1 1 81
41 2 2 1 1 30 1 1 1 1 1 33
41 3 1 1 1 2 2 1 1 1 1 33
42 2 2 1 1 43 1 1 1 1 1 47
42 3 1 1 1 16 2 1 1 1 1 47
42 4 1 1 1 12 2 1 1 1 1 47
43 2 2 1 1 52 1 1 1 1 1 48
44 2 1 1 1 88 1 1 2 1 1 84
44 3 2 1 1 62 2 1 2 1 1 84
45 2 1 2 1 32 1 1 2 2 1 31
45 3 1 2 1 14 2 1 2 2 1 31
45 4 1 2 1 10 2 1 2 2 1 31
46 2 1 1 1 65 1 1 2 1 1 63
46 3 1 1 1 23 8 1 2 1 1 63
47 2 1 1 1 50 1 1 2 1 1 39
47 3 1 1 1 14 2 1 2 1 1 39
48 2 1 2 1 3 2 2 2 2 1 23
49 2 2 1 1 62 1 1 1 1 1 74
50 2 1 1 1 58 1 1 2 1 1 56
51 2 2 1 1 61 10 2 1 1 1 65
52 2 2 1 1 49 2 1 1 1 1 77
52 3 2 1 1 16 8 1 1 1 1 77
52 4 1 1 1 15 8 1 1 1 1 77
53 2 2 1 1 62 1 1 1 1 1 62
54 2 1 1 1 74 1 1 2 1 1 74
55 2 2 1 1 64 1 1 1 1 1 63
56 2 2 1 1 41 1 1 1 1 1 38
56 3 2 1 1 20 2 1 1 1 1 38
56 4 1 1 1 18 2 1 1 1 1 38
57 2 1 1 1 34 1 1 2 1 1 37
57 3 1 1 1 3 2 1 2 1 1 37
58 2 1 1 1 48 1 1 2 1 1 43
58 3 1 1 1 16 2 1 2 1 1 43
58 4 1 1 1 13 2 1 2 1 1 43
59 2 2 6 1 55 1 1 1 6 1 62
60 2 2 1 1 58 1 1 1 1 1 59
61 2 2 1 1 50 1 2 1 1 1 49
61 3 2 1 1 13 2 2 1 1 1 49
61 4 2 1 1 24 2 2 1 1 1 49
62 2 1 1 1 1 2 1 1 1 1 48
62 3 2 1 1 39 10 1 1 1 1 48
63 2 1 1 1 45 1 1 2 1 1 39
63 3 2 1 1 16 2 1 2 1 1 39
63 4 1 1 1 11 2 1 2 1 1 39
64 2 2 1 1 52 1 1 1 8 1 45
65 2 2 1 1 51 1 1 1 1 1 54
66 2 2 1 1 72 1 1 1 1 1 72
67 2 2 1 1 65 1 1 1 1 1 78
68 2 1 1 1 45 1 1 2 1 1 43
69 2 2 7 3 5 2 2 2 7 3 27
70 2 2 1 1 77 1 1 1 1 1 74
71 2 2 1 1 48 1 1 1 1 1 45
72 2 2 1 1 42 1 1 1 1 1 43
72 3 1 1 1 10 2 1 1 1 1 43
72 4 2 1 1 8 2 1 1 1 1 43
73 2 1 2 1 53 1 1 2 1 1 44
73 3 1 8 1 11 2 1 2 1 1 44
73 4 1 8 1 9 2 1 2 1 1 44
74 2 2 1 1 70 1 1 1 8 1 79
75 2 1 1 1 74 1 1 2 1 1 73
75 3 2 1 1 91 4 1 2 1 1 73
76 2 1 1 1 21 2 1 1 1 1 41
76 3 2 1 1 16 2 1 1 1 1 41
76 4 2 1 1 32 10 1 1 1 1 41
77 2 2 1 1 52 1 1 1 1 1 64
77 3 2 1 1 17 2 1 1 1 1 64
78 2 2 1 1 70 1 1 1 1 1 71
79 2 2 1 1 50 1 1 1 1 1 52
79 3 2 1 1 23 2 1 1 1 1 52
80 2 2 2 1 10 2 2 2 2 1 27
80 3 1 2 1 5 2 2 2 2 1 27
81 2 2 1 1 51 1 2 1 1 1 51
82 2 1 1 1 42 1 1 2 1 1 46
82 3 1 1 1 12 2 1 2 1 1 46
83 2 1 1 1 51 10 2 2 1 1 55
84 2 2 1 1 60 1 1 1 1 1 55
85 2 2 1 1 37 1 2 1 1 1 38
86 2 2 1 1 45 1 1 1 1 1 49
86 3 2 1 1 18 2 1 1 1 1 49
87 2 2 1 5 66 1 2 1 1 2 71
87 3 1 1 5 14 8 2 1 1 2 71
88 2 1 1 1 74 1 2 2 1 1 73
88 3 2 1 1 48 2 2 2 1 1 73
89 2 2 1 1 56 1 1 1 1 1 60
90 2 2 1 1 69 1 1 1 3 1 72
91 2 2 1 1 57 1 1 1 1 1 56
92 2 1 1 1 52 1 1 2 1 1 50
92 3 1 1 1 22 2 1 2 1 1 50
93 2 2 1 1 55 1 1 1 1 1 58
93 3 1 1 1 7 8 1 1 1 1 58
93 4 2 1 1 5 8 1 1 1 1 58
94 2 2 1 1 37 1 1 1 6 1 42
94 3 2 8 1 4 2 1 1 6 1 42
95 2 2 1 1 38 1 1 1 1 1 37
95 3 2 4 1 4 2 1 1 1 1 37
95 4 2 4 1 3 2 1 1 1 1 37
96 2 2 1 1 58 1 1 1 1 1 68
97 2 2 1 1 65 1 1 1 1 1 66
98 2 1 2 1 21 8 2 2 2 1 74
99 2 2 1 1 83 1 1 1 1 1 81
100 2 2 1 1 26 9 2 2 1 1 26
100 3 2 1 1 25 10 2 2 1 1 26
100 4 2 1 1 25 10 2 2 1 1 26
101 2 2 2 1 13 2 2 1 2 1 50
101 3 2 2 1 8 9 2 1 2 1 50
101 4 2 2 1 44 10 2 1 2 1 50
102 2 2 1 1 75 1 1 1 1 1 75
103 2 2 1 1 51 1 1 1 1 1 63
103 3 1 1 1 14 2 1 1 1 1 63
103 4 1 1 1 14 2 1 1 1 1 63
104 2 2 1 1 29 1 1 1 1 1 28
105 2 1 1 1 85 1 1 2 1 1 78
106 2 1 1 1 69 1 1 2 1 5 62
107 2 1 1 1 76 1 1 2 1 1 78
108 2 1 1 1 43 1 1 2 1 1 48
108 3 2 1 1 12 2 1 2 1 1 48
108 4 1 1 1 15 2 1 2 1 1 48
109 2 2 1 1 42 10 1 2 1 1 39
110 2 2 1 1 54 1 1 1 1 1 55
110 3 1 1 1 24 2 1 1 1 1 55
111 2 1 1 1 44 1 1 2 1 1 49
111 3 1 1 1 17 2 1 2 1 1 49
112 2 2 1 2 16 2 2 2 1 2 39
113 2 2 2 1 24 8 1 2 2 1 72
114 2 2 1 1 26 1 2 1 1 1 27
114 3 1 1 1 7 2 2 1 1 1 27
114 4 2 1 1 3 2 2 1 1 1 27
115 2 1 1 1 44 10 1 1 2 1 37
116 2 1 2 1 25 8 1 2 2 1 80
116 3 2 2 1 25 8 1 2 2 1 80
117 2 2 1 1 45 1 1 1 1 1 59
118 2 2 1 1 52 1 1 1 1 4 53
118 3 1 1 4 18 2 1 1 1 4 53
119 2 1 1 2 23 2 1 2 1 2 57
120 2 1 1 1 19 2 1 2 1 1 40
120 3 1 3 1 28 10 1 2 1 1 40
121 2 2 1 1 70 10 1 1 1 1 70
122 2 1 1 1 36 10 1 2 1 1 39
123 2 1 3 1 26 1 2 2 1 1 20
123 3 1 8 1 5 2 2 2 1 1 20
123 4 1 8 1 2 2 2 2 1 1 20
124 2 2 1 1 50 1 1 1 1 1 52
124 3 2 1 1 10 8 1 1 1 1 52
125 2 1 1 1 64 1 1 2 1 1 63
126 2 2 1 1 82 1 1 1 1 1 85
127 2 1 1 1 45 1 1 2 1 1 44
127 3 2 1 1 20 2 1 2 1 1 44
127 4 2 1 1 15 2 1 2 1 1 44
128 2 2 1 1 54 1 1 1 1 1 51
128 3 2 1 1 18 2 1 1 1 1 51
128 4 1 1 1 15 2 1 1 1 1 51
129 2 1 2 1 26 10 2 2 2 1 24
130 2 2 1 1 28 1 1 1 1 1 34
131 2 1 1 1 25 2 2 2 1 1 66
131 3 1 1 1 25 2 2 2 1 1 66
132 2 2 1 1 58 1 1 1 1 1 62
133 2 2 1 1 56 1 1 1 1 1 55
134 2 1 1 1 43 1 1 2 1 1 43
134 3 1 1 1 9 2 1 2 1 1 43
134 4 2 1 1 4 2 1 2 1 1 43
135 2 2 1 1 50 1 2 1 1 1 52
136 2 2 1 1 66 1 1 1 1 1 73
137 2 2 1 1 53 10 1 1 1 1 59
137 3 1 1 1 38 11 1 1 1 1 59
138 2 1 1 1 10 2 1 1 1 1 52
139 2 2 1 1 64 1 1 1 1 1 60
140 2 2 1 1 37 1 2 1 1 1 42
140 3 1 1 1 1 2 2 1 1 1 42
141 2 1 1 1 53 1 1 2 1 1 51
141 3 2 1 1 18 2 1 2 1 1 51
141 4 1 1 1 16 2 1 2 1 1 51
142 2 2 8 1 28 1 1 1 1 1 29
143 2 1 2 1 54 1 1 2 1 1 58
144 2 2 1 1 65 1 1 1 1 1 71
145 2 2 4 1 60 1 1 1 4 1 62
146 2 1 1 1 26 1 2 2 1 1 31
147 2 2 1 1 61 1 1 1 1 1 75
148 2 1 1 5 26 6 2 1 1 5 30
