"HHIndex" "WithinHHIndex" "Gender" "Race" "Hisp" "Age" "Relate" "Owner"
1 1 1 1 2 57 1 2
1 2 1 1 2 26 3 2
2 1 2 1 1 48 1 1
2 2 1 1 1 51 2 1
3 1 2 1 2 44 1 2
3 2 1 1 2 42 2 2
3 3 1 1 2 16 3 2
3 4 2 1 2 3 3 2
4 1 2 1 1 80 1 1
4 2 1 1 1 83 2 1
5 1 2 3 1 75 1 1
5 2 1 3 1 71 2 1
5 3 1 3 1 17 9 1
6 1 2 1 1 66 1 1
6 2 1 1 1 73 2 1
7 1 2 2 1 26 1 2
7 2 2 8 2 2 3 2
8 1 1 1 1 54 1 1
8 2 2 1 1 55 2 1
9 1 1 1 1 84 1 1
9 2 2 1 1 83 2 1
10 1 2 1 2 41 1 1
10 2 2 1 2 5 3 1
10 3 1 1 2 3 3 1
11 1 1 2 1 78 1 1
11 2 2 2 1 76 2 1
11 3 1 2 1 51 3 1
12 1 2 1 1 23 1 2
12 2 2 1 1 22 11 2
12 3 2 1 1 22 11 2
13 1 2 1 1 62 1 1
13 2 2 1 1 90 5 1
14 1 1 1 1 31 1 2
14 2 2 1 1 25 2 2
14 3 1 1 1 8 3 2
14 4 2 1 1 5 3 2
15 1 1 1 1 40 1 1
15 2 2 1 1 40 2 1
15 3 1 1 1 11 3 1
15 4 2 1 1 7 3 1
16 1 2 1 1 48 1 1
16 2 1 1 1 51 2 1
16 3 1 1 1 22 3 1
17 1 2 1 1 53 1 2
17 2 1 1 1 18 3 2
17 3 2 1 1 16 3 2
18 1 1 1 1 65 1 2
18 2 2 1 1 64 2 2
19 1 1 1 1 33 1 1
19 2 2 1 1 35 2 1
20 1 1 1 1 38 1 1
20 2 2 1 1 52 2 1
21 1 1 1 1 56 1 1
21 2 2 1 1 59 2 1
22 1 1 1 1 78 1 1
22 2 2 1 1 75 2 1
23 1 1 1 1 50 1 1
23 2 2 1 1 49 2 1
23 3 2 1 1 21 3 1
24 1 1 1 1 29 1 1
24 2 2 1 1 29 2 1
25 1 1 1 1 37 1 1
25 2 2 1 1 35 2 1
25 3 2 1 1 15 3 1
25 4 1 1 1 13 3 1
26 1 1 7 5 43 1 2
26 2 2 7 5 44 2 2
26 3 1 7 5 12 3 2
26 4 1 7 5 10 3 2
26 5 1 7 5 5 3 2
27 1 2 1 1 61 1 2
27 2 1 1 1 35 3 2
28 1 2 1 1 35 1 1
28 2 1 1 1 40 2 1
28 3 1 1 1 4 3 1
29 1 1 1 1 88 1 1
29 2 2 1 1 80 2 1
30 1 1 1 1 46 1 1
30 2 2 1 1 14 3 1
30 3 1 1 1 12 3 1
31 1 2 1 2 53 1 2
31 2 1 1 2 52 2 2
31 3 2 1 2 21 3 2
32 1 1 1 1 43 1 1
32 2 2 1 1 45 2 1
32 3 1 1 1 10 3 1
33 1 2 1 1 24 1 2
33 2 1 1 2 33 2 2
33 3 1 1 2 1 3 2
34 1 1 8 1 51 1 1
34 2 1 1 1 36 12 1
35 1 1 1 1 61 1 1
35 2 2 1 1 52 2 1
36 1 2 1 1 73 1 2
36 2 2 1 1 54 3 2
36 3 2 1 1 52 3 2
36 4 1 1 1 13 9 2
37 1 1 1 1 78 1 1
37 2 2 1 1 76 2 1
38 1 1 2 1 23 1 2
38 2 2 2 1 21 11 2
39 1 2 1 1 59 1 1
39 2 1 1 1 57 2 1
39 3 2 1 1 17 3 1
40 1 2 2 1 42 1 2
40 2 1 2 1 40 2 2
40 3 1 2 1 18 3 2
40 4 1 2 1 14 3 2
41 1 1 1 1 69 1 1
41 2 2 1 1 52 2 1
41 3 2 1 1 26 3 1
42 1 1 1 1 73 1 1
42 2 2 1 1 71 2 1
43 1 2 1 2 27 1 2
43 2 1 1 2 30 2 2
43 3 1 1 2 9 3 2
43 4 1 1 2 4 3 2
43 5 1 1 2 2 3 2
44 1 2 2 1 43 1 1
44 2 2 2 1 15 3 1
44 3 2 2 1 10 3 1
45 1 1 1 1 27 1 1
45 2 2 1 1 27 2 1
46 1 2 2 1 50 1 2
46 2 2 2 1 87 5 2
47 1 1 1 5 38 1 2
47 2 2 1 5 33 2 2
47 3 1 1 5 13 3 2
47 4 2 1 5 6 3 2
47 5 1 1 5 28 11 2
48 1 1 1 1 65 1 1
48 2 2 1 1 61 2 1
48 3 1 1 1 31 3 1
49 1 2 1 1 68 1 1
49 2 1 1 1 68 2 1
50 1 2 2 1 36 1 2
50 2 1 2 1 16 3 2
51 1 2 1 1 68 1 1
51 2 1 1 1 71 2 1
52 1 1 2 1 69 1 1
52 2 2 1 1 66 2 1
53 1 2 1 1 35 1 2
53 2 1 1 1 34 2 2
53 3 2 1 1 15 3 2
53 4 1 1 1 13 3 2
54 1 2 1 1 32 1 1
54 2 1 1 1 45 7 1
54 3 2 1 1 64 5 1
54 4 1 1 1 1 10 1
55 1 1 1 1 71 1 1
55 2 2 1 1 70 2 1
56 1 1 1 1 31 1 1
56 2 2 1 1 31 2 1
56 3 1 1 1 4 3 1
57 1 2 2 1 64 1 1
57 2 2 2 1 44 3 1
57 3 1 2 1 63 7 1
58 1 2 7 2 41 1 2
58 2 2 7 2 7 3 2
58 3 2 7 2 1 9 2
58 4 1 7 2 76 10 2
59 1 1 1 1 74 1 1
59 2 2 1 1 72 2 1
60 1 2 8 1 49 1 1
60 2 1 8 1 16 3 1
60 3 2 8 1 14 3 1
60 4 1 8 1 11 3 1
61 1 1 1 1 63 1 1
61 2 2 1 1 64 2 1
62 1 2 2 1 30 1 2
62 2 2 7 2 27 11 2
63 1 1 1 1 49 1 1
63 2 2 1 1 19 3 1
63 3 2 1 1 15 3 1
64 1 2 1 1 46 1 1
64 2 1 1 1 53 2 1
64 3 2 1 1 15 3 1
64 4 1 1 1 13 3 1
65 1 1 1 1 58 1 1
65 2 2 1 1 55 2 1
65 3 2 1 1 17 3 1
66 1 1 1 1 57 1 1
66 2 2 1 1 46 2 1
67 1 1 7 2 39 1 1
67 2 2 7 2 33 2 1
67 3 2 7 2 5 3 1
67 4 2 7 2 5 3 1
68 1 1 1 5 57 1 1
68 2 2 1 5 58 2 1
69 1 1 1 1 60 1 1
69 2 2 1 1 58 2 1
69 3 2 1 1 26 3 1
70 1 1 1 1 67 1 1
70 2 2 1 1 66 2 1
71 1 1 1 1 22 1 1
71 2 2 1 1 72 11 1
72 1 1 6 1 68 1 2
72 2 2 6 1 59 2 2
72 3 2 6 1 15 3 2
73 1 1 1 1 58 1 1
73 2 2 1 1 64 2 1
74 1 1 2 1 43 1 1
74 2 2 2 1 46 2 1
75 1 1 1 1 22 1 2
75 2 1 1 1 20 11 2
76 1 1 1 1 57 1 1
76 2 1 1 1 61 11 1
77 1 1 1 1 55 1 1
77 2 2 1 1 51 2 1
77 3 1 1 1 22 3 1
77 4 1 1 1 18 3 1
78 1 2 1 1 47 1 1
78 2 2 1 1 25 3 1
78 3 1 1 1 18 3 1
78 4 2 1 1 16 3 1
79 1 1 1 1 54 1 1
79 2 2 1 1 57 2 1
80 1 1 1 1 82 1 1
80 2 2 1 1 78 2 1
81 1 1 2 1 50 1 2
81 2 2 2 1 13 3 2
81 3 2 2 1 8 10 2
81 4 2 2 1 44 11 2
82 1 2 1 1 69 1 1
82 2 1 1 1 62 11 1
83 1 1 8 1 27 1 2
83 2 2 8 1 25 2 2
84 1 1 8 1 57 1 2
84 2 2 8 2 18 9 2
84 3 2 8 5 13 9 2
84 4 2 8 2 6 9 2
84 5 2 8 2 1 9 2
84 6 2 8 2 33 4 2
85 1 1 1 1 70 1 1
85 2 2 1 1 67 2 1
86 1 2 1 1 30 1 2
86 2 1 1 1 34 2 2
86 3 1 1 1 11 3 2
86 4 1 1 1 9 3 2
86 5 2 1 1 5 3 2
87 1 2 6 1 32 1 1
87 2 1 6 1 36 2 1
87 3 2 6 1 6 3 1
87 4 1 6 1 4 3 1
88 1 1 1 1 55 1 1
88 2 2 1 2 35 2 1
88 3 1 1 1 2 3 1
88 4 2 1 2 12 3 1
89 1 1 1 1 52 1 2
89 2 1 1 1 7 3 2
90 1 1 1 1 76 1 1
90 2 2 1 1 70 2 1
91 1 2 8 1 48 1 1
91 2 1 1 1 55 2 1
91 3 1 1 1 27 3 1
91 4 2 6 1 73 5 1
92 1 2 9 5 69 1 2
92 2 1 8 5 70 2 2
93 1 1 1 1 70 1 1
93 2 2 1 1 64 2 1
94 1 2 1 1 28 1 2
94 2 1 1 1 11 3 2
94 3 2 1 1 1 3 2
94 4 1 1 1 28 11 2
95 1 2 1 1 34 1 1
95 2 1 1 1 38 2 1
95 3 1 1 1 12 3 1
95 4 2 1 1 9 3 1
95 5 2 1 1 9 3 1
96 1 1 1 1 61 1 1
96 2 2 1 1 61 11 1
97 1 1 1 1 53 1 1
97 2 2 1 1 50 2 1
97 3 2 1 1 6 3 1
98 1 2 1 1 74 1 1
98 2 1 1 1 76 2 1
99 1 1 1 1 71 1 1
99 2 2 1 1 70 2 1
100 1 1 1 1 57 1 1
100 2 2 1 1 56 2 1
101 1 1 1 1 66 1 1
101 2 2 1 1 65 2 1
101 3 1 1 1 38 3 1
102 1 2 1 1 65 1 1
102 2 1 1 1 64 2 1
103 1 1 1 1 80 1 1
103 2 2 1 1 81 2 1
104 1 1 1 1 90 1 1
104 2 2 1 1 87 2 1
105 1 2 1 1 40 1 1
105 2 1 1 1 19 3 1
105 3 1 3 1 28 11 1
106 1 2 1 1 54 1 1
106 2 2 1 1 18 3 1
107 1 1 1 1 41 1 1
107 2 2 1 1 39 2 1
107 3 2 1 1 1 3 1
108 1 1 1 1 59 1 1
108 2 2 1 1 56 2 1
109 1 1 1 1 55 1 1
109 2 2 1 1 60 2 1
109 3 2 1 1 17 3 1
109 4 2 1 1 94 6 1
110 1 1 8 1 39 1 1
110 2 2 1 1 36 2 1
110 3 2 8 1 9 3 1
110 4 1 8 1 4 3 1
110 5 1 8 1 2 3 1
110 6 1 1 1 12 3 1
111 1 2 1 1 33 1 1
111 2 1 1 1 35 2 1
111 3 1 1 1 8 3 1
111 4 2 1 1 6 3 1
112 1 1 1 1 64 1 1
112 2 2 1 1 59 2 1
113 1 2 1 5 46 1 2
113 2 1 1 5 23 3 2
113 3 2 1 5 22 3 2
114 1 1 1 1 60 1 1
114 2 2 1 1 79 5 1
115 1 1 1 1 43 1 1
115 2 2 1 2 44 2 1
115 3 1 1 2 9 3 1
115 4 2 1 2 1 3 1
116 1 2 1 1 61 1 1
116 2 1 1 1 65 2 1
117 1 1 7 2 32 1 2
117 2 2 7 2 35 2 2
118 1 1 1 1 58 1 1
118 2 2 1 1 48 2 1
118 3 2 1 1 20 3 1
119 1 2 1 1 73 1 1
119 2 1 1 1 76 2 1
120 1 2 6 1 32 1 2
120 2 1 6 1 39 2 2
120 3 2 6 1 1 3 2
121 1 1 3 5 41 1 2
121 2 1 3 2 51 11 2
121 3 1 3 5 49 11 2
121 4 1 3 5 43 11 2
121 5 1 3 5 30 11 2
122 1 2 1 1 20 1 2
122 2 2 1 1 21 11 2
122 3 2 1 1 21 11 2
122 4 2 1 1 20 11 2
123 1 1 1 1 28 1 1
123 2 2 1 1 27 2 1
123 3 2 1 1 5 3 1
123 4 1 1 1 3 3 1
124 1 1 1 1 69 1 1
124 2 2 1 1 68 2 1
125 1 1 1 1 64 1 1
125 2 2 1 1 62 2 1
126 1 1 1 1 41 1 1
126 2 2 1 1 40 2 1
126 3 1 1 1 14 3 1
126 4 1 1 1 9 3 1
127 1 1 1 1 46 1 1
127 2 2 1 1 43 2 1
127 3 1 1 1 22 3 1
127 4 1 1 1 19 3 1
127 5 1 1 1 16 3 1
127 6 2 1 1 10 3 1
128 1 1 1 1 33 1 1
128 2 2 1 1 34 2 1
128 3 2 1 1 11 3 1
128 4 2 1 1 8 3 1
129 1 1 7 5 27 1 2
129 2 2 2 1 22 2 2
129 3 1 8 5 1 3 2
130 1 2 1 1 76 1 1
130 2 1 1 1 79 2 1
131 1 1 1 1 59 1 1
131 2 2 1 1 59 2 1
132 1 2 1 1 66 1 1
132 2 1 1 1 60 2 1
132 3 1 1 1 22 9 1
133 1 2 1 1 58 1 1
133 2 1 1 1 58 2 1
133 3 1 1 1 31 3 1
134 1 1 1 1 87 1 1
134 2 2 1 1 81 2 1
135 1 1 1 1 59 1 1
135 2 2 1 1 58 2 1
135 3 1 1 1 28 3 1
136 1 2 3 1 33 1 1
136 2 1 3 1 29 2 1
136 3 1 3 1 2 3 1
136 4 1 3 1 1 3 1
137 1 2 1 1 29 1 2
137 2 2 1 5 9 3 2
137 3 1 8 1 7 3 2
137 4 1 2 1 35 11 2
138 1 1 1 1 85 1 1
138 2 2 1 1 79 2 1
139 1 1 4 1 41 1 1
139 2 2 4 1 40 2 1
139 3 2 4 1 7 3 1
139 4 1 4 1 5 3 1
140 1 2 8 1 75 1 1
140 2 1 1 1 78 2 1
141 1 1 1 1 51 1 2
141 2 1 1 1 35 11 2
141 3 1 1 1 15 12 2
142 1 1 1 5 50 1 1
142 2 2 1 5 21 3 1
142 3 1 1 5 19 3 1
143 1 1 6 1 46 1 2
143 2 2 6 1 37 2 2
143 3 1 6 1 16 3 2
143 4 2 6 1 9 3 2
144 1 1 1 1 36 1 1
144 2 2 1 1 36 2 1
144 3 2 1 1 9 3 1
144 4 1 1 1 7 3 1
145 1 2 1 1 39 1 1
145 2 1 1 1 12 3 1
145 3 2 1 1 10 3 1
145 4 2 1 1 8 3 1
145 5 2 1 1 6 3 1
145 6 2 1 1 6 3 1
146 1 1 4 1 56 1 2
146 2 2 4 1 52 2 2
147 1 2 2 1 20 1 2
147 2 2 2 1 46 5 2
148 1 2 1 1 63 1 1
148 2 1 1 1 70 2 1
149 1 1 1 1 59 1 1
149 2 2 1 1 54 2 1
149 3 1 1 1 18 3 1
150 1 2 1 1 55 1 1
150 2 1 1 1 55 2 1
151 1 2 1 1 35 1 1
151 2 1 1 1 37 2 1
151 3 1 1 1 15 3 1
151 4 1 1 1 13 3 1
151 5 1 1 1 12 3 1
152 1 2 1 1 46 1 2
152 2 2 1 1 16 3 2
153 1 1 1 1 55 1 1
153 2 1 1 1 79 5 1
154 1 2 1 2 52 1 1
154 2 1 1 2 55 2 1
154 3 1 1 2 16 3 1
155 1 1 1 1 69 1 1
155 2 2 1 1 46 2 1
155 3 1 1 1 22 3 1
155 4 1 1 1 73 10 1
155 5 2 1 1 56 10 1
156 1 2 1 1 58 1 1
156 2 1 1 1 64 2 1
157 1 1 1 1 34 1 1
157 2 2 1 1 33 2 1
157 3 1 1 1 7 3 1
158 1 2 7 1 52 1 1
158 2 1 7 1 56 2 1
158 3 1 9 1 28 3 1
158 4 2 9 1 6 9 1
158 5 2 7 1 24 4 1
159 1 1 2 1 74 1 1
159 2 1 2 1 33 9 1
159 3 2 2 1 70 11 1
160 1 2 1 1 40 1 1
160 2 1 1 1 14 3 1
160 3 2 1 1 12 3 1
160 4 1 1 1 10 3 1
160 5 2 1 1 8 3 1
161 1 1 1 1 24 1 2
161 2 2 1 1 25 2 2
161 3 1 1 1 5 3 2
161 4 2 1 1 2 3 2
162 1 1 1 1 59 1 1
162 2 2 1 1 61 2 1
163 1 2 7 3 56 1 1
163 2 1 7 3 28 3 1
163 3 1 1 1 31 12 1
163 4 1 1 1 29 12 1
164 1 1 1 1 70 1 1
164 2 2 1 1 70 2 1
165 1 2 1 2 29 1 1
165 2 1 2 5 32 2 1
165 3 1 8 5 5 3 1
166 1 1 6 1 43 1 1
166 2 2 6 1 43 2 1
166 3 1 6 1 12 3 1
166 4 2 6 1 10 3 1
167 1 1 1 1 32 1 1
167 2 2 7 5 33 2 1
167 3 2 7 5 17 3 1
167 4 1 7 5 15 3 1
167 5 1 7 5 12 3 1
167 6 1 7 5 9 3 1
168 1 1 1 1 53 1 1
168 2 2 1 1 52 2 1
168 3 1 1 1 9 9 1
168 4 2 1 1 3 9 1
168 5 1 1 1 2 9 1
169 1 1 1 1 55 1 1
169 2 2 1 3 61 2 1
170 1 2 1 1 83 1 1
170 2 2 1 1 62 3 1
171 1 1 1 1 45 1 1
171 2 2 1 1 36 2 1
171 3 1 1 1 1 3 1
172 1 1 8 1 72 1 1
172 2 2 1 1 75 2 1
173 1 1 7 2 32 1 1
173 2 2 1 1 32 2 1
173 3 1 7 2 7 3 1
173 4 2 7 2 5 3 1
173 5 2 7 2 3 3 1
174 1 1 1 1 52 1 1
174 2 1 1 1 15 3 1
175 1 2 2 1 76 1 2
175 2 1 2 1 79 2 2
176 1 2 1 1 34 1 1
176 2 1 1 1 33 2 1
176 3 1 1 1 10 3 1
177 1 2 1 1 69 1 1
177 2 1 1 1 70 2 1
178 1 1 8 1 34 1 2
178 2 1 8 1 10 3 2
179 1 1 1 1 51 1 1
179 2 2 1 1 41 2 1
180 1 1 1 1 61 1 2
180 2 2 1 1 87 5 2
181 1 1 2 1 62 1 1
181 2 2 2 1 64 2 1
182 1 2 2 4 36 1 2
182 2 1 2 4 14 3 2
182 3 1 2 1 38 11 2
183 1 1 1 1 55 1 1
183 2 2 1 1 53 2 1
183 3 2 1 1 20 3 1
184 1 1 1 1 71 1 1
184 2 2 1 1 66 2 1
185 1 1 1 1 68 1 1
185 2 2 1 1 63 2 1
186 1 1 7 2 83 1 1
186 2 2 1 1 52 3 1
186 3 2 1 1 20 9 1
186 4 1 1 1 12 9 1
186 5 2 1 1 11 9 1
187 1 2 1 1 58 1 2
187 2 2 1 1 20 3 2
188 1 1 1 1 26 1 1
188 2 1 1 1 26 11 1
189 1 1 1 1 59 1 1
189 2 2 1 1 63 2 1
190 1 1 1 1 62 1 1
190 2 2 1 1 59 2 1
190 3 1 1 1 36 3 1
190 4 2 1 1 6 9 1
190 5 2 1 1 5 9 1
190 6 2 1 1 40 4 1
191 1 2 1 1 64 1 1
191 2 1 1 1 41 3 1
191 3 1 1 1 26 3 1
192 1 2 1 1 41 1 1
192 2 1 2 1 32 11 1
193 1 2 1 2 60 1 1
193 2 1 1 2 64 2 1
193 3 1 1 2 19 3 1
194 1 1 1 1 82 1 1
194 2 2 1 1 79 2 1
195 1 1 1 1 45 1 1
195 2 2 1 1 39 2 1
195 3 2 1 1 14 3 1
196 1 1 1 1 63 1 1
196 2 2 1 1 60 2 1
196 3 1 1 1 20 9 1
197 1 1 1 1 53 1 1
197 2 2 1 1 51 2 1
197 3 2 1 1 10 3 1
197 4 2 1 1 6 3 1
198 1 2 1 1 27 1 1
198 2 1 1 1 30 2 1
198 3 1 1 1 7 3 1
198 4 2 1 1 4 3 1
199 1 2 1 1 52 1 1
199 2 1 1 1 56 2 1
199 3 1 1 1 16 3 1
199 4 1 1 1 13 3 1
200 1 2 1 1 76 1 1
200 2 1 1 1 65 2 1
201 1 1 1 1 62 1 1
201 2 2 1 1 60 2 1
202 1 2 1 1 58 1 1
202 2 1 1 1 68 2 1
203 1 1 1 1 58 1 1
203 2 2 1 1 59 2 1
204 1 1 1 1 67 1 1
204 2 2 1 1 64 2 1
205 1 2 6 1 39 1 2
205 2 1 6 1 39 2 2
205 3 2 6 1 12 3 2
205 4 1 6 1 8 3 2
205 5 1 6 1 8 3 2
206 1 1 1 1 49 1 1
206 2 2 1 1 44 2 1
206 3 2 1 1 12 3 1
206 4 1 1 1 10 3 1
206 5 1 1 1 9 3 1
207 1 2 1 1 64 1 1
207 2 1 1 1 65 2 1
208 1 1 7 5 53 1 1
208 2 2 7 5 29 3 1
208 3 2 7 5 34 10 1
208 4 1 7 5 13 10 1
208 5 2 7 5 6 10 1
208 6 2 7 5 6 10 1
209 1 2 1 1 26 1 2
209 2 1 1 1 26 2 2
210 1 1 1 1 75 1 1
210 2 2 1 1 73 2 1
211 1 1 1 1 35 1 1
211 2 2 1 2 34 2 1
211 3 2 1 2 9 3 1
211 4 1 1 2 7 3 1
212 1 2 2 1 47 1 1
212 2 1 2 1 15 3 1
213 1 2 1 5 26 1 2
213 2 1 1 1 35 2 2
213 3 2 1 1 5 3 2
213 4 2 1 1 1 3 2
214 1 2 1 1 45 1 1
214 2 1 1 1 62 11 1
215 1 1 1 1 73 1 1
215 2 2 1 1 75 2 1
216 1 2 2 1 54 1 2
216 2 1 2 1 20 3 2
217 1 1 8 1 35 1 2
217 2 2 1 1 20 2 2
217 3 2 1 1 22 10 2
218 1 1 1 1 43 1 1
218 2 2 1 1 43 2 1
218 3 2 1 1 13 3 1
218 4 1 1 1 10 3 1
218 5 2 1 1 10 3 1
219 1 2 1 1 67 1 1
219 2 1 1 1 72 2 1
219 3 2 1 1 31 3 1
220 1 1 1 1 51 1 1
220 2 2 1 1 19 3 1
220 3 2 1 1 43 11 1
220 4 2 1 1 17 12 1
221 1 1 1 2 35 1 2
221 2 2 1 2 30 2 2
221 3 2 1 2 11 3 2
221 4 1 1 2 10 3 2
222 1 1 1 1 50 1 1
222 2 2 1 1 48 2 1
222 3 2 1 1 15 3 1
222 4 1 1 1 17 3 1
223 1 1 2 1 56 1 2
223 2 2 2 1 54 2 2
223 3 1 2 1 9 3 2
224 1 1 1 1 64 1 1
224 2 1 1 1 22 3 1
225 1 2 1 1 65 1 1
225 2 1 8 1 22 3 1
226 1 2 7 2 55 1 2
226 2 2 7 2 31 3 2
226 3 2 7 2 6 9 2
226 4 2 7 2 5 9 2
226 5 1 7 1 26 4 2
227 1 1 1 1 70 1 1
227 2 2 1 1 67 2 1
228 1 1 1 1 53 1 1
228 2 2 1 1 50 2 1
229 1 2 1 1 50 1 1
229 2 1 1 1 51 2 1
229 3 2 1 1 18 3 1
229 4 1 1 1 15 3 1
230 1 1 1 1 72 1 1
