Hhindex,pernum,sex,race,sthn,age,relate,ownership,householdsize
1,1,2,7,2,56,1,2,3
1,2,1,7,2,60,2,2,3
1,3,1,7,2,23,3,2,3
2,1,2,1,1,67,1,1,3
2,2,1,1,1,71,2,1,3
2,3,1,1,1,41,3,1,3
3,1,1,1,1,47,1,1,2
3,2,2,1,1,40,2,1,2
4,1,2,1,2,45,1,1,2
4,2,1,1,1,59,2,1,2
5,1,1,6,1,71,1,2,2
5,2,2,6,1,41,3,2,2
6,1,1,6,1,65,1,1,3
6,2,2,6,1,59,2,1,3
6,3,2,6,1,84,5,1,3
7,1,1,1,1,87,1,1,3
7,2,2,1,1,59,2,1,3
7,3,1,1,1,32,3,1,3
8,1,2,1,1,45,1,2,2
8,2,2,1,1,41,11,2,2
9,1,1,4,1,38,1,1,4
9,2,2,4,1,37,2,1,4
9,3,2,4,1,3,3,1,4
9,4,2,4,1,1,3,1,4
10,1,2,1,1,35,1,2,2
10,2,1,1,1,42,11,2,2
11,1,1,6,1,47,1,2,4
11,2,2,6,1,46,2,2,4
11,3,1,6,1,16,3,2,4
11,4,2,6,1,13,3,2,4
12,1,1,1,1,53,1,1,2
12,2,2,7,4,55,2,1,2
13,1,1,1,1,37,1,1,4
13,2,2,1,1,34,2,1,4
13,3,2,1,1,6,3,1,4
13,4,2,1,1,1,3,1,4
14,1,1,1,5,55,1,2,2
14,2,2,1,5,53,2,2,2
15,1,1,1,1,54,1,1,2
15,2,2,3,1,54,2,1,2
16,1,1,1,1,35,1,2,2
16,2,2,1,1,38,11,2,2
17,1,1,1,1,41,1,1,3
17,2,2,1,1,40,2,1,3
17,3,1,1,1,11,3,1,3
18,1,2,4,1,39,1,1,3
18,2,1,4,1,40,2,1,3
18,3,1,4,1,4,3,1,3
19,1,1,1,1,40,1,1,4
19,2,2,1,1,38,2,1,4
19,3,1,1,1,8,3,1,4
19,4,1,1,1,6,3,1,4
20,1,1,6,1,71,1,1,2
20,2,2,1,1,70,2,1,2
21,1,1,1,1,84,1,1,2
21,2,2,1,1,79,2,1,2
22,1,2,1,1,24,1,2,2
22,2,1,1,1,30,2,2,2
23,1,2,1,1,45,1,1,2
23,2,1,1,1,19,3,1,2
24,1,1,1,1,45,1,1,4
24,2,2,5,1,49,2,1,4
24,3,2,8,1,9,3,1,4
24,4,2,8,1,6,3,1,4
25,1,2,1,1,46,1,1,2
25,2,1,1,1,53,2,1,2
26,1,1,1,1,75,1,1,2
26,2,2,1,1,70,2,1,2
27,1,1,1,1,70,1,1,2
27,2,2,1,1,69,2,1,2
28,1,2,1,1,44,1,1,2
28,2,1,8,1,18,3,1,2
29,1,1,7,2,40,1,2,3
29,2,2,3,2,5,3,2,3
29,3,2,1,2,47,11,2,3
30,1,1,1,1,68,1,1,2
30,2,2,1,1,69,2,1,2
31,1,1,7,2,32,1,2,2
31,2,1,7,2,6,3,2,2
32,1,2,1,1,24,1,2,3
32,2,1,1,1,29,2,2,3
32,3,2,1,1,2,3,2,3
33,1,2,8,1,70,1,1,2
33,2,1,1,1,69,2,1,2
34,1,1,1,1,58,1,1,4
34,2,2,1,1,61,2,1,4
34,3,1,1,1,26,3,1,4
34,4,1,1,1,26,3,1,4
35,1,2,1,1,57,1,1,4
35,2,1,1,1,27,3,1,4
35,3,2,1,1,25,4,1,4
35,4,1,1,1,6,9,1,4
36,1,1,1,1,55,1,1,2
36,2,2,1,1,53,2,1,2
37,1,2,1,2,68,1,1,2
37,2,1,1,2,48,3,1,2
38,1,2,1,2,42,1,2,3
38,2,1,1,2,16,3,2,3
38,3,1,1,3,53,11,2,3
39,1,1,1,1,59,1,1,3
39,2,2,1,1,63,2,1,3
39,3,1,1,1,24,3,1,3
40,1,2,1,1,57,1,1,3
40,2,1,1,1,69,2,1,3
40,3,1,1,1,36,3,1,3
41,1,2,1,1,48,1,1,3
41,2,1,1,1,50,2,1,3
41,3,2,1,1,23,3,1,3
42,1,1,1,1,45,1,1,4
